City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Benghazi,LY,65.71,clear sky,32.1167,20.0667,Tibesti Hotel
1,Sanchez,DO,76.21,few clouds,19.2281,-69.6137,Apartamentos Rincon La Roca
4,Bambous Virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
7,Arraial Do Cabo,BR,71.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
10,Butaritari,KI,82.2,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
13,Rikitea,PF,75.97,scattered clouds,-23.1203,-134.9692,People ThankYou
16,Jimeta,NG,79.0,overcast clouds,9.2833,12.4667,Yola International Hotel
18,Atuona,PF,78.39,light rain,-9.8,-139.0333,Villa Enata
19,Kapaa,US,79.48,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
20,Santiago,CL,66.25,overcast clouds,-33.4569,-70.6483,Hotel Panamericano
21,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti Beach Resort
22,Hilo,US,85.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
23,Salalah,OM,78.98,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
25,Saint George,US,87.64,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
34,Labuhan,ID,82.45,overcast clouds,-6.8844,112.2051,DoubleFAG
39,Doha,QA,89.58,clear sky,25.2867,51.5333,Movenpick Hotel Doha
48,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
49,Sinnamary,GF,76.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
51,Saint-Philippe,RE,71.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Kitimat,CA,66.58,overcast clouds,54.0524,-128.6534,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
58,Baripada,IN,86.31,clear sky,21.935,86.7214,Aparna Hotel
59,Rosita,NI,72.68,overcast clouds,13.9268,-84.4032,Hospedaje Zeledón
60,Ponta Do Sol,PT,66.83,scattered clouds,32.6667,-17.1,Hotel do Campo
61,Yulara,AU,65.46,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
66,Gat,IL,66.4,clear sky,31.61,34.7642,OlusHome
67,Umm Lajj,SA,76.55,clear sky,25.0213,37.2685,Moon light Furnished Units
69,Solana Beach,US,71.08,scattered clouds,32.9912,-117.2711,Hilton San Diego/Del Mar
70,College,US,67.59,scattered clouds,64.8569,-147.8028,Pike's Waterfront Lodge
73,Maumere,ID,83.5,overcast clouds,-8.6199,122.2111,Sylvia Hotel
77,Darnah,LY,65.75,clear sky,32.767,22.6367,فندق الفردوس
78,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
80,Key West,US,82.0,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
81,Ipixuna,BR,72.41,moderate rain,-1.7625,-48.8043,Chalé do Mato
83,Meulaboh,ID,79.05,overcast clouds,4.1363,96.1285,Kost Pria
84,Bayan,CN,76.33,overcast clouds,46.0833,127.4,Wanhao Inn
86,Cedar City,US,70.39,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
87,Guangshui,CN,74.71,clear sky,31.6199,113.9978,广水市雅瑞假日生态园
89,Sauteurs,GD,81.3,overcast clouds,12.2167,-61.6333,Barry's Country Retreat
90,Mandali,IQ,85.3,overcast clouds,33.7499,45.5541,قرئ الشيخ سحاب الندا
91,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
92,Cabo San Lucas,MX,81.7,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
93,Manta,EC,76.78,broken clouds,-0.95,-80.7333,Balandra Hotel
94,Santa Rosa,PH,88.11,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
95,Westport,US,76.44,light rain,41.1415,-73.3579,The Westport Inn
101,Matara,LK,79.11,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
103,Waingapu,ID,83.79,few clouds,-9.6567,120.2641,Pondok Wisata Elim
104,Los Llanos De Aridane,ES,65.95,overcast clouds,28.6585,-17.9182,Valle Aridane
109,Takoradi,GH,74.55,overcast clouds,4.8845,-1.7554,Raybow International Hotel
111,Mehran,IR,85.15,scattered clouds,33.1222,46.1646,بوتیک زنانه بهار
118,Centralia,US,71.69,scattered clouds,46.7162,-122.9543,Peppermill Inn
119,Manoel Urbano,BR,76.33,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
121,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
122,Souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
124,Abha,SA,69.62,clear sky,18.2164,42.5053,Abha Hotel
132,Namibe,AO,68.67,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
133,Kavieng,PG,85.15,broken clouds,-2.5744,150.7967,Nusa Island Retreat
134,Anzio,IT,66.9,broken clouds,41.4853,12.6179,Hotel Lido Garda
135,Puerto Ayora,EC,71.89,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
137,Hami,CN,85.5,overcast clouds,42.8,93.45,Laoyutang Resort
138,Jining,CN,83.61,clear sky,35.405,116.5814,Yunhe Star Hotel
139,Bull Savanna,JM,75.58,overcast clouds,17.8868,-77.5902,Big Red's
140,Pagudpud,PH,85.77,broken clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
141,Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
143,Esperance,AU,65.14,clear sky,-33.8667,121.9,Hospitality Esperance
