City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Benghazi,LY,32.1167,20.0667,65.71,62,0,2.13,clear sky
1,Sanchez,DO,19.2281,-69.6137,76.21,85,22,6.15,few clouds
2,Aleppo,SY,36.25,37.5,59.07,73,0,22.12,clear sky
3,Ushuaia,AR,-54.8,-68.3,35.26,75,0,4.61,clear sky
4,Bambous Virieux,MU,-20.3428,57.7575,73.65,83,75,8.05,broken clouds
5,Norman Wells,CA,65.282,-126.8329,46.44,53,100,4.61,overcast clouds
6,Albany,US,42.6001,-73.9662,66.67,84,99,1.99,overcast clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,71.2,71,0,14.88,clear sky
8,Imeni Poliny Osipenko,RU,52.4201,136.4853,46.9,61,100,7.45,overcast clouds
9,Ouro Fino,BR,-22.2831,-46.3692,50.68,84,0,3.78,clear sky
10,Butaritari,KI,3.0707,172.7902,82.2,78,34,14.41,scattered clouds
11,Port Alfred,ZA,-33.5906,26.891,59.88,78,78,5.5,broken clouds
12,Boende,CD,-0.2167,20.8667,72.12,93,75,2.89,broken clouds
13,Rikitea,PF,-23.1203,-134.9692,75.97,76,44,16.46,scattered clouds
14,Prince Rupert,CA,54.3161,-130.3201,51.89,78,0,14.97,clear sky
15,Sitka,US,57.0531,-135.33,52.63,71,100,6.53,overcast clouds
16,Jimeta,NG,9.2833,12.4667,79.0,70,88,5.37,overcast clouds
17,Chuy,UY,-33.6971,-53.4616,52.52,83,15,6.29,few clouds
18,Atuona,PF,-9.8,-139.0333,78.39,77,35,18.9,light rain
19,Kapaa,US,22.0752,-159.319,79.48,79,100,13.8,overcast clouds
20,Santiago,CL,-33.4569,-70.6483,66.25,57,100,8.05,overcast clouds
21,Vaini,TO,-21.2,-175.2,82.56,83,20,9.22,few clouds
22,Hilo,US,19.7297,-155.09,85.28,69,0,8.01,clear sky
23,Salalah,OM,17.0151,54.0924,78.98,86,24,2.1,few clouds
24,Mataura,NZ,-46.1927,168.8643,49.26,73,78,9.28,broken clouds
25,Saint George,US,37.1041,-113.5841,87.64,9,100,8.99,overcast clouds
26,Kodiak,US,57.79,-152.4072,45.41,87,100,18.23,light rain
27,Port-Cartier,CA,50.0334,-66.8654,52.02,96,100,4.18,moderate rain
28,Barrow,US,71.2906,-156.7887,27.41,81,18,10.0,few clouds
29,Lebu,CL,-37.6167,-73.65,49.5,80,100,2.84,overcast clouds
30,Castro,BR,-24.7911,-50.0119,48.04,82,92,2.35,overcast clouds
31,Guerrero Negro,MX,27.9769,-114.0611,63.12,67,0,19.69,clear sky
32,Pangnirtung,CA,66.1451,-65.7125,27.99,98,100,4.38,light snow
33,Jamestown,US,42.097,-79.2353,52.52,92,75,3.44,broken clouds
34,Labuhan,ID,-6.8844,112.2051,82.45,77,85,12.64,overcast clouds
35,Qaanaaq,GL,77.484,-69.3632,27.05,77,100,7.27,overcast clouds
36,Airai,TL,-8.9266,125.4092,70.2,53,9,4.81,clear sky
37,Yar-Sale,RU,66.8333,70.8333,34.9,91,99,27.85,overcast clouds
38,Da Nang,VN,16.0678,108.2208,91.38,55,20,3.44,few clouds
39,Doha,QA,25.2867,51.5333,89.58,27,0,17.27,clear sky
40,Cape Town,ZA,-33.9258,18.4232,58.12,91,20,5.75,few clouds
41,Provideniya,RU,64.3833,-173.3,51.91,62,0,13.42,clear sky
42,Batagay,RU,67.6333,134.6333,51.48,51,73,2.3,light rain
43,Marabba,SD,12.35,32.1833,85.62,25,81,4.68,broken clouds
44,New Norfolk,AU,-42.7826,147.0587,57.92,61,10,1.92,clear sky
45,San Quintin,MX,30.4833,-115.95,63.59,65,0,12.08,clear sky
46,Klaksvik,FO,62.2266,-6.589,47.32,91,39,9.22,scattered clouds
47,Araouane,ML,18.9048,-3.5265,85.05,18,0,8.99,clear sky
48,Avarua,CK,-21.2078,-159.775,84.25,74,75,9.22,broken clouds
49,Sinnamary,GF,5.3833,-52.95,76.78,88,100,5.03,overcast clouds
50,Zaigrayevo,RU,51.8336,108.2703,58.95,48,91,10.71,overcast clouds
51,Saint-Philippe,RE,-21.3585,55.7679,71.19,72,41,10.33,scattered clouds
52,Ribeira Grande,PT,38.5167,-28.7,64.13,95,100,3.53,light rain
53,Kaoma,ZM,-14.7833,24.8,47.91,37,0,5.46,clear sky
54,Cherskiy,RU,68.75,161.3,57.22,36,100,17.98,overcast clouds
55,Kitimat,CA,54.0524,-128.6534,66.58,58,100,1.99,overcast clouds
56,Skjervoy,NO,70.0311,20.9714,41.0,83,100,5.32,light rain
57,Merauke,ID,-8.4667,140.3333,84.15,69,31,10.18,scattered clouds
58,Baripada,IN,21.935,86.7214,86.31,50,7,1.72,clear sky
59,Rosita,NI,13.9268,-84.4032,72.68,99,100,2.48,overcast clouds
60,Ponta Do Sol,PT,32.6667,-17.1,66.83,77,32,5.73,scattered clouds
61,Yulara,AU,-25.2406,130.9889,65.46,36,100,10.25,overcast clouds
62,Joao Pinheiro,BR,-17.7425,-46.1725,60.15,63,0,4.16,clear sky
63,Yellowknife,CA,62.456,-114.3525,37.92,65,100,9.22,light snow
64,Punta Arenas,CL,-53.15,-70.9167,30.31,93,40,8.05,scattered clouds
